Cleveland Cavaliers,102,Boston Celtics,99
Houston Rockets,122,Golden State Warriors,121
Washington Wizards,120,Philadelphia,115
Detroit Pistons,102,Charlotte Hornets,90
Indiana Pacers,140,Brooklyn Nets,131
Orlando Magic,116,Miami Heat,109
Milwaukee Bucks,108,Boston Celtics,100
Memphis Grizzlies,103,New Orleans Pelicans,91
Atlanta Hawks,117,Dallas Mavericks,111
Utah Jazz,106,Denver Nuggets,96
San Antonio Spurs,107,Minnesota Timberwolves,99
Portland Trail Blazers,124,Phoenix Suns,76
Houston Rockets,105,Sacramento Kings,100
Toronto Raptors,117,Chicago Bulls,100
Oklahoma City Thunder,105,New York Knicks,84
Los Angeles Clippers,108,Los Angeles Lakers,92
Cleveland Cavaliers,116,Milwaukee Bucks,97
Charlotte Hornets,109,Atlanta Hawks,91
Portland Trail Blazers,114,Indiana Pacers,96
Boston Celtics,102,Philadelphia,92
Washington Wizards,115,Detroit Pistons,111
Brooklyn Nets,126,Orlando Magic,121
Minnesota Timberwolves,100,Utah Jazz,97
Sacramento Kings,93,Dallas Mavericks,88
Golden State Warriors,128,New Orleans Pelicans,120
Los Angeles Lakers,132,Phoenix Suns,130
Toronto Raptors,128,Philadelphia,94
Orlando Magic,114,Cleveland Cavaliers,93
Miami Heat,112,Indiana Pacers,108
Detroit Pistons,111,New York Knicks,107
San Antonio Spurs,87,Chicago Bulls,77
Houston Rockets,107,Dallas Mavericks,91
Memphis Grizzlies,111,Golden State Warriors,101
Milwaukee Bucks,113,Portland Trail Blazers,110
Denver Nuggets,96,Sacramento Kings,79
Utah Jazz,96,Oklahoma City Thunder,87
Los Angeles Clippers,130,Phoenix Suns,88
Brooklyn Nets,116,Atlanta Hawks,104
Minnesota Timberwolves,115,Oklahoma City Thunder,113
New Orleans Pelicans,119,Los Angeles Lakers,112
Philadelphia,97,Detroit Pistons,86
Miami Heat,104,Atlanta Hawks,93
Memphis Grizzlies,98,Houston Rockets,90
Milwaukee Bucks,103,Charlotte Hornets,94
Golden State Warriors,133,Dallas Mavericks,103
San Antonio Spurs,101,Toronto Raptors,97
Washington Wizards,109,Denver Nuggets,104
Phoenix Suns,117,Sacramento Kings,115
Cleveland Cavaliers,119,Chicago Bulls,112
Orlando Magic,125,Brooklyn Nets,121
Boston Celtics,110,New York Knicks,89
Indiana Pacers,130,Minnesota Timberwolves,107
Portland Trail Blazers,103,New Orleans Pelicans,93
Los Angeles Clippers,102,Utah Jazz,84
Charlotte Hornets,110,Denver Nuggets,93
Detroit Pistons,122,Minnesota Timberwolves,101
Houston Rockets,105,Philadelphia,104
Brooklyn Nets,112,Cleveland Cavaliers,107
San Antonio Spurs,117,Miami Heat,100
Oklahoma City Thunder,114,Indiana Pacers,96
Dallas Mavericks,103,Memphis Grizzlies,94
Phoenix Suns,97,Utah Jazz,88
Golden State Warriors,117,Toronto Raptors,112
Los Angeles Lakers,102,Washington Wizards,99
Chicago Bulls,91,Atlanta Hawks,86
Memphis Grizzlies,96,Dallas Mavericks,91
Boston Celtics,96,Milwaukee Bucks,89
Los Angeles Clippers,104,Portland Trail Blazers,103
New Orleans Pelicans,114,Sacramento Kings,106
Houston Rockets,109,Charlotte Hornets,93
Orlando Magic,114,San Antonio Spurs,87
Denver Nuggets,105,Atlanta Hawks,100
New York Knicks,107,Brooklyn Nets,86
Minnesota Timberwolves,119,Oklahoma City Thunder,116
Golden State Warriors,120,Washington Wizards,117
Toronto Raptors,101,Los Angeles Lakers,92
New Orleans Pelicans,123,Cleveland Cavaliers,101
Boston Celtics,96,Miami Heat,90
Oklahoma City Thunder,101,Chicago Bulls,69
Memphis Grizzlies,103,Houston Rockets,89
Philadelphia,112,Dallas Mavericks,110
Utah Jazz,96,Los Angeles Lakers,81
Portland Trail Blazers,114,Phoenix Suns,107
Detroit Pistons,95,Los Angeles Clippers,87
Milwaukee Bucks,117,Atlanta Hawks,106
Indiana Pacers,97,San Antonio Spurs,94
Denver Nuggets,124,Brooklyn Nets,111
Charlotte Hornets,120,Orlando Magic,113
Washington Wizards,110,Sacramento Kings,83
New York Knicks,114,Cleveland Cavaliers,95
Detroit Pistons,115,Golden State Warriors,107
Boston Celtics,108,San Antonio Spurs,94
Minnesota Timberwolves,125,Miami Heat,122
New York Knicks,116,Denver Nuggets,110
Philadelphia,115,Houston Rockets,107
Charlotte Hornets,104,Memphis Grizzlies,99
Orlando Magic,115,New Orleans Pelicans,99
Utah Jazz,104,Dallas Mavericks,89
Toronto Raptors,99,Portland Trail Blazers,85
Golden State Warriors,141,Los Angeles Clippers,113
Indiana Pacers,101,Sacramento Kings,83
Phoenix Suns,122,Brooklyn Nets,114
Oklahoma City Thunder,110,Milwaukee Bucks,91
Los Angeles Lakers,113,Detroit Pistons,93
Charlotte Hornets,126,Milwaukee Bucks,121
Indiana Pacers,124,Cleveland Cavaliers,107
Philadelphia,119,Atlanta Hawks,109
Phoenix Suns,122,Washington Wizards,116
Boston Celtics,113,Sacramento Kings,86
Miami Heat,97,Chicago Bulls,91
Houston Rockets,119,New York Knicks,97
Orlando Magic,101,Memphis Grizzlies,99
Minnesota Timberwolves,104,New Orleans Pelicans,98
Denver Nuggets,129,Toronto Raptors,111
Utah Jazz,112,Portland Trail Blazers,103
Los Angeles Clippers,119,Dallas Mavericks,98
Golden State Warriors,112,San Antonio Spurs,92
Portland Trail Blazers,113,Los Angeles Lakers,110
Detroit Pistons,105,Milwaukee Bucks,96
Chicago Bulls,105,Orlando Magic,83
Philadelphia,121,Indiana Pacers,110
Cleveland Cavaliers,130,Washington Wizards,122
Houston Rockets,119,Atlanta Hawks,104
New York Knicks,120,Phoenix Suns,107
New Orleans Pelicans,99,Dallas Mavericks,94
San Antonio Spurs,108,Charlotte Hornets,101
Denver Nuggets,95,Miami Heat,94
Toronto Raptors,109,Utah Jazz,100
Boston Celtics,101,Oklahoma City Thunder,94
Los Angeles Lakers,124,Brooklyn Nets,112
Memphis Grizzlies,113,Los Angeles Clippers,104
Detroit Pistons,108,Sacramento Kings,99
New Orleans Pelicans,96,Chicago Bulls,90
Minnesota Timberwolves,112,Dallas Mavericks,99
Golden State Warriors,127,Denver Nuggets,108
Atlanta Hawks,117,Cleveland Cavaliers,115
Miami Heat,104,Los Angeles Clippers,101
Boston Celtics,104,Orlando Magic,88
Washington Wizards,107,Toronto Raptors,96
Houston Rockets,137,Utah Jazz,110
San Antonio Spurs,112,Phoenix Suns,95
New York Knicks,108,Indiana Pacers,101
Minnesota Timberwolves,112,Charlotte Hornets,94
Portland Trail Blazers,103,Oklahoma City Thunder,99
Los Angeles Lakers,107,Memphis Grizzlies,102
Boston Celtics,110,Atlanta Hawks,107
Brooklyn Nets,98,Phoenix Suns,92
Golden State Warriors,97,Miami Heat,80
Cleveland Cavaliers,124,Milwaukee Bucks,119
New Orleans Pelicans,117,Indiana Pacers,112
Dallas Mavericks,113,Washington Wizards,99
New York Knicks,118,Charlotte Hornets,113
Toronto Raptors,119,Chicago Bulls,114
San Antonio Spurs,120,Los Angeles Clippers,107
Denver Nuggets,112,Brooklyn Nets,104
Philadelphia,104,Utah Jazz,97
Memphis Grizzlies,98,Portland Trail Blazers,97
Sacramento Kings,94,Oklahoma City Thunder,86
Detroit Pistons,114,Indiana Pacers,97
Orlando Magic,112,New York Knicks,99
Boston Celtics,107,Los Angeles Lakers,96
Miami Heat,126,Phoenix Suns,115
Golden State Warriors,125,Minnesota Timberwolves,101
Washington Wizards,111,Los Angeles Lakers,95
Toronto Raptors,122,New Orleans Pelicans,118
Houston Rockets,117,Cleveland Cavaliers,113
Sacramento Kings,109,Philadelphia,108
Denver Nuggets,102,Oklahoma City Thunder,94
Detroit Pistons,111,Atlanta Hawks,104
Boston Celtics,90,Charlotte Hornets,87
Indiana Pacers,105,Chicago Bulls,87
Oklahoma City Thunder,120,Los Angeles Clippers,111
Milwaukee Bucks,94,San Antonio Spurs,87
Orlando Magic,128,Phoenix Suns,112
Miami Heat,84,Utah Jazz,74
Brooklyn Nets,101,Portland Trail Blazers,97
Washington Wizards,113,Atlanta Hawks,94
New Orleans Pelicans,111,Los Angeles Clippers,103
New York Knicks,118,Sacramento Kings,91
Houston Rockets,111,Memphis Grizzlies,96
Cleveland Cavaliers,111,Dallas Mavericks,104
Milwaukee Bucks,98,Los Angeles Lakers,90
San Antonio Spurs,133,Chicago Bulls,94
Golden State Warriors,135,Philadelphia,114
Denver Nuggets,125,Orlando Magic,107
Phoenix Suns,118,Minnesota Timberwolves,110
Utah Jazz,114,Brooklyn Nets,106
Boston Celtics,95,Toronto Raptors,94
Detroit Pistons,112,Miami Heat,103
Houston Rockets,118,Indiana Pacers,95
Oklahoma City Thunder,112,Dallas Mavericks,99
Washington Wizards,110,Sacramento Kings,92
Cleveland Cavaliers,104,New York Knicks,101
Milwaukee Bucks,110,Memphis Grizzlies,103
New Orleans Pelicans,106,Atlanta Hawks,105
Los Angeles Lakers,100,Phoenix Suns,93
Minnesota Timberwolves,109,Utah Jazz,98
Portland Trail Blazers,99,Denver Nuggets,82
Golden State Warriors,110,Orlando Magic,100
Philadelphia,109,Los Angeles Clippers,105
Boston Celtics,109,Brooklyn Nets,102
Toronto Raptors,129,Houston Rockets,113
San Antonio Spurs,97,Dallas Mavericks,91
Atlanta Hawks,126,Sacramento Kings,80
Washington Wizards,102,Miami Heat,93
New York Knicks,106,Utah Jazz,101
Cleveland Cavaliers,115,Charlotte Hornets,107
Indiana Pacers,116,Memphis Grizzlies,113
Milwaukee Bucks,99,Detroit Pistons,95
Minnesota Timberwolves,98,San Antonio Spurs,86
Toronto Raptors,125,New Orleans Pelicans,116
Oklahoma City Thunder,92,Chicago Bulls,79
Portland Trail Blazers,99,Orlando Magic,94
Philadelphia,115,Los Angeles Lakers,109
Boston Celtics,92,Golden State Warriors,88
Houston Rockets,142,Phoenix Suns,116
Indiana Pacers,107,Detroit Pistons,100
Miami Heat,91,Washington Wizards,88
Brooklyn Nets,118,Utah Jazz,107
Cleveland Cavaliers,118,Los Angeles Clippers,113
Toronto Raptors,107,New York Knicks,84
Chicago Bulls,123,Charlotte Hornets,120
San Antonio Spurs,104,Oklahoma City Thunder,101
Minnesota Timberwolves,111,Dallas Mavericks,87
Sacramento Kings,86,Portland Trail Blazers,82
Denver Nuggets,146,New Orleans Pelicans,114
Phoenix Suns,122,Los Angeles Lakers,113
Charlotte Hornets,102,Los Angeles Clippers,87
Utah Jazz,125,Orlando Magic,85
Boston Celtics,110,Atlanta Hawks,99
Golden State Warriors,124,Philadelphia,116
Houston Rockets,105,Memphis Grizzlies,83
Dallas Mavericks,111,Milwaukee Bucks,79
Portland Trail Blazers,102,Sacramento Kings,90
Indiana Pacers,120,Miami Heat,95
Golden State Warriors,118,Brooklyn Nets,111
Toronto Raptors,100,Washington Wizards,91
Detroit Pistons,100,Minnesota Timberwolves,97
Phoenix Suns,113,Chicago Bulls,105
Los Angeles Lakers,127,Denver Nuggets,109
Charlotte Hornets,118,Minnesota Timberwolves,102
Cleveland Cavaliers,116,Detroit Pistons,88
Indiana Pacers,105,Orlando Magic,97
Philadelphia,107,Utah Jazz,86
New York Knicks,107,Los Angeles Clippers,85
Portland Trail Blazers,100,Memphis Grizzlies,92
Washington Wizards,99,Milwaukee Bucks,88
New Orleans Pelicans,114,Oklahoma City Thunder,107
Boston Celtics,110,Dallas Mavericks,102
San Antonio Spurs,96,Atlanta Hawks,85
Denver Nuggets,114,Sacramento Kings,98
Los Angeles Lakers,103,Chicago Bulls,94
Charlotte Hornets,129,Washington Wizards,124
Cleveland Cavaliers,119,Brooklyn Nets,109
Philadelphia,101,Portland Trail Blazers,81
Los Angeles Clippers,116,Atlanta Hawks,103
Miami Heat,104,Boston Celtics,98
New York Knicks,108,Toronto Raptors,100
Houston Rockets,125,Denver Nuggets,95
Dallas Mavericks,95,Memphis Grizzlies,94
Minnesota Timberwolves,124,Orlando Magic,118
New Orleans Pelicans,107,San Antonio Spurs,90
Oklahoma City Thunder,108,Golden State Warriors,91
Milwaukee Bucks,113,Phoenix Suns,107
Utah Jazz,110,Chicago Bulls,80
Sacramento Kings,113,Los Angeles Lakers,102
Portland Trail Blazers,127,Brooklyn Nets,125
Atlanta Hawks,116,New York Knicks,104
Boston Celtics,118,Orlando Magic,103
Cleveland Cavaliers,100,Charlotte Hornets,99
Indiana Pacers,107,Toronto Raptors,104
Miami Heat,109,Minnesota Timberwolves,97
Detroit Pistons,99,Oklahoma City Thunder,98
Denver Nuggets,104,Memphis Grizzlies,92
New Orleans Pelicans,115,Phoenix Suns,91
Golden State Warriors,143,Chicago Bulls,94
San Antonio Spurs,106,Charlotte Hornets,86
Philadelphia,130,Orlando Magic,111
Portland Trail Blazers,108,Washington Wizards,105
Toronto Raptors,112,Atlanta Hawks,78
Boston Celtics,108,Indiana Pacers,98
Houston Rockets,117,New York Knicks,102
Dallas Mavericks,97,Oklahoma City Thunder,81
Golden State Warriors,110,New Orleans Pelicans,95
Utah Jazz,121,Milwaukee Bucks,108
Los Angeles Clippers,97,Sacramento Kings,95
Miami Heat,100,Chicago Bulls,93
Minnesota Timberwolves,119,Phoenix Suns,108
Brooklyn Nets,98,Memphis Grizzlies,88
Indiana Pacers,121,Orlando Magic,109
Cleveland Cavaliers,113,Philadelphia,91
Detroit Pistons,118,Boston Celtics,108
Portland Trail Blazers,103,New York Knicks,91
Houston Rockets,117,Brooklyn Nets,103
San Antonio Spurs,115,Dallas Mavericks,108
Sacramento Kings,110,Golden State Warriors,106
Los Angeles Clippers,120,Los Angeles Lakers,115
Cleveland Cavaliers,108,Miami Heat,97
Phoenix Suns,104,Chicago Bulls,99
Washington Wizards,92,Minnesota Timberwolves,89
Utah Jazz,106,Denver Nuggets,77
Milwaukee Bucks,112,Sacramento Kings,87
Detroit Pistons,131,Phoenix Suns,107
Orlando Magic,121,Oklahoma City Thunder,108
Philadelphia,118,Washington Wizards,113
New York Knicks,115,Miami Heat,86
Toronto Raptors,126,Charlotte Hornets,113
Houston Rockets,118,Indiana Pacers,97
Minnesota Timberwolves,120,New Orleans Pelicans,102
Brooklyn Nets,109,Dallas Mavericks,104
San Antonio Spurs,104,Memphis Grizzlies,95
Golden State Warriors,127,Los Angeles Lakers,123
Cleveland Cavaliers,121,Atlanta Hawks,114
Boston Celtics,108,Philadelphia,97
Denver Nuggets,111,Chicago Bulls,110
Milwaukee Bucks,103,Portland Trail Blazers,91
Utah Jazz,126,Los Angeles Clippers,107
Golden State Warriors,133,Orlando Magic,112
Washington Wizards,109,Detroit Pistons,91
Toronto Raptors,120,Indiana Pacers,115
Miami Heat,105,Charlotte Hornets,100
Sacramento Kings,107,Chicago Bulls,106
San Antonio Spurs,95,Memphis Grizzlies,79
Oklahoma City Thunder,111,Minnesota Timberwolves,107
Utah Jazz,114,New Orleans Pelicans,108
Boston Celtics,116,Phoenix Suns,111
Dallas Mavericks,108,Los Angeles Clippers,82
Atlanta Hawks,114,Brooklyn Nets,102
Cleveland Cavaliers,116,Memphis Grizzlies,111
Philadelphia,108,Detroit Pistons,103
Milwaukee Bucks,109,Sacramento Kings,104
Denver Nuggets,115,Los Angeles Lakers,100
New Orleans Pelicans,123,Portland Trail Blazers,116
Orlando Magic,105,New York Knicks,100
Golden State Warriors,123,Miami Heat,95
Minnesota Timberwolves,112,Los Angeles Clippers,106
Oklahoma City Thunder,90,San Antonio Spurs,87
Houston Rockets,118,Los Angeles Lakers,95
Charlotte Hornets,104,Orlando Magic,94
Indiana Pacers,115,New York Knicks,97
Phoenix Suns,115,Philadelphia,101
Brooklyn Nets,110,Atlanta Hawks,90
Boston Celtics,111,Milwaukee Bucks,100
Cleveland Cavaliers,113,Chicago Bulls,91
Memphis Grizzlies,95,Minnesota Timberwolves,92
Golden State Warriors,125,New Orleans Pelicans,115
Dallas Mavericks,122,Denver Nuggets,105
San Antonio Spurs,96,Detroit Pistons,93
Utah Jazz,116,Washington Wizards,69
Toronto Raptors,126,Phoenix Suns,113
Oklahoma City Thunder,100,Utah Jazz,94
Washington Wizards,106,Portland Trail Blazers,92
Cleveland Cavaliers,101,Sacramento Kings,95
Indiana Pacers,98,Chicago Bulls,96
Orlando Magic,110,Atlanta Hawks,106
Boston Celtics,97,Dallas Mavericks,90
New York Knicks,99,Memphis Grizzlies,88
Golden State Warriors,101,Charlotte Hornets,87
Milwaukee Bucks,104,Detroit Pistons,100
New Orleans Pelicans,123,Denver Nuggets,114
San Antonio Spurs,117,Miami Heat,105
Minnesota Timberwolves,113,Los Angeles Clippers,107
Los Angeles Lakers,107,Philadelphia,104
Washington Wizards,109,Phoenix Suns,99
Brooklyn Nets,100,Oklahoma City Thunder,95
Houston Rockets,112,Utah Jazz,101
Chicago Bulls,119,Charlotte Hornets,111
Golden State Warriors,102,Detroit Pistons,98
Indiana Pacers,106,Cleveland Cavaliers,102
Denver Nuggets,103,Orlando Magic,89
Toronto Raptors,116,Memphis Grizzlies,107
Milwaukee Bucks,109,Dallas Mavericks,102
Sacramento Kings,116,New Orleans Pelicans,109
San Antonio Spurs,105,Boston Celtics,102
Los Angeles Clippers,113,Washington Wizards,112
Miami Heat,101,Brooklyn Nets,89
Los Angeles Lakers,110,Charlotte Hornets,99
Atlanta Hawks,117,Orlando Magic,110
Cleveland Cavaliers,105,Philadelphia,98
Chicago Bulls,104,New York Knicks,102
Milwaukee Bucks,117,Utah Jazz,100
Oklahoma City Thunder,102,Memphis Grizzlies,101
San Antonio Spurs,104,Phoenix Suns,101
Houston Rockets,124,Portland Trail Blazers,117
Toronto Raptors,102,Sacramento Kings,87
Boston Celtics,91,Detroit Pistons,81
Indiana Pacers,126,Denver Nuggets,116
Minnesota Timberwolves,97,Dallas Mavericks,92
New Orleans Pelicans,131,Philadelphia,124
New York Knicks,111,Atlanta Hawks,107
Chicago Bulls,108,Boston Celtics,85
Houston Rockets,130,New Orleans Pelicans,123
Miami Heat,107,Memphis Grizzlies,82
Charlotte Hornets,116,Oklahoma City Thunder,103
Golden State Warriors,111,Portland Trail Blazers,104
Los Angeles Clippers,96,Toronto Raptors,91
Cleveland Cavaliers,123,Atlanta Hawks,114
Denver Nuggets,103,Detroit Pistons,84
New York Knicks,113,Los Angeles Lakers,109
Brooklyn Nets,103,Washington Wizards,98
Philadelphia,118,Minnesota Timberwolves,112
Dallas Mavericks,95,San Antonio Spurs,89
Sacramento Kings,99,Phoenix Suns,92
Oklahoma City Thunder,100,Indiana Pacers,95
Los Angeles Clippers,106,Orlando Magic,95
Washington Wizards,93,Memphis Grizzlies,87
Boston Celtics,124,Denver Nuggets,118
Portland Trail Blazers,102,Miami Heat,95
Chicago Bulls,103,Utah Jazz,100
New Orleans Pelicans,115,Milwaukee Bucks,108
Toronto Raptors,115,Phoenix Suns,109
Houston Rockets,108,Charlotte Hornets,96
Detroit Pistons,105,Atlanta Hawks,91
New York Knicks,111,Brooklyn Nets,104
Cleveland Cavaliers,121,Los Angeles Lakers,112
Minnesota Timberwolves,119,Sacramento Kings,96
Golden State Warriors,112,Dallas Mavericks,97
Miami Heat,104,Charlotte Hornets,98
Detroit Pistons,104,Indiana Pacers,98
Portland Trail Blazers,95,Orlando Magic,88
Oklahoma City Thunder,119,Philadelphia,117
Washington Wizards,100,Los Angeles Clippers,91
Utah Jazz,107,Boston Celtics,95
Toronto Raptors,120,Brooklyn Nets,87
Memphis Grizzlies,96,Atlanta Hawks,94
Chicago Bulls,115,Milwaukee Bucks,109
Denver Nuggets,117,New Orleans Pelicans,111
Houston Rockets,124,San Antonio Spurs,109
Portland Trail Blazers,93,Charlotte Hornets,91
Cleveland Cavaliers,109,Utah Jazz,100
New York Knicks,111,Oklahoma City Thunder,96
Miami Heat,90,Los Angeles Clippers,85
Houston Rockets,115,Milwaukee Bucks,111
Phoenix Suns,108,Minnesota Timberwolves,106
San Antonio Spurs,98,Dallas Mavericks,96
Boston Celtics,102,Memphis Grizzlies,93
Toronto Raptors,108,Sacramento Kings,93
Detroit Pistons,114,Orlando Magic,110
Indiana Pacers,109,Brooklyn Nets,97
